Count,Throughput,TotalLatency,MaxLatency,MinLatency,AvgLatency,Total
0.0,0.0,0.0,0.0,10000.0,0.0,0.0
121.0,60.5,1888.81005859375,32.47216796875,2.593017578125,15.610000484245868,121.0
133.0,66.5,1974.0302734375,18.319580078125,2.369384765625,14.842332882988721,254.0
135.0,67.5,1977.34765625,23.36962890625,2.42822265625,14.647019675925925,389.0
139.0,69.5,1980.868408203125,21.978515625,1.84619140625,14.25085185757644,528.0
144.0,72.0,1971.370361328125,16.49169921875,2.489990234375,13.690071953667534,672.0
144.0,72.0,1970.603515625,34.27392578125,2.607421875,13.684746636284721,816.0
150.0,75.0,1978.28759765625,15.611328125,2.597900390625,13.188583984375,966.0
160.0,80.0,1971.435546875,24.35205078125,2.51025390625,12.32147216796875,1126.0
162.0,81.0,1964.846435546875,14.790771484375,2.573486328125,12.128681700906636,1288.0
175.0,87.5,1979.702880859375,14.14208984375,2.513427734375,11.312587890625,1463.0
177.0,88.5,1969.546142578125,28.595947265625,2.349853515625,11.127379336599576,1640.0
185.0,92.5,1956.93798828125,18.255126953125,2.446533203125,10.578043179898648,1825.0
209.0,104.5,1974.36962890625,15.3154296875,2.447021484375,9.446744635915072,2034.0
218.0,109.0,1965.886962890625,10.571044921875,2.087158203125,9.017830105002867,2252.0
242.0,121.0,1963.145751953125,13.4169921875,2.369873046875,8.112172528731922,2494.0
263.0,131.5,1952.3779296875,10.78955078125,2.401123046875,7.423490226948669,2758.0
300.0,150.0,1965.390869140625,9.2177734375,2.546142578125,6.551302897135416,3058.0
352.0,176.0,1957.758056640625,8.052001953125,2.482421875,5.561812660910866,3410.0
460.0,230.0,1956.9111328125,7.08837890625,2.298828125,4.254154636548913,3870.0
660.0,330.0,1915.494384765625,43.61669921875,0.754638671875,2.902264219341856,4530.0
47.0,23.5,1960.13916015625,73.98046875,2.82080078125,41.705088513962764,4577.0
52.0,26.0,2007.322509765625,45.024658203125,2.549560546875,38.60235595703125,4629.0
50.0,25.0,2004.79150390625,44.104248046875,2.324462890625,40.095830078125,4679.0
50.0,25.0,1990.723388671875,45.89697265625,2.602294921875,39.8144677734375,4729.0
51.0,25.5,1982.154052734375,45.780029296875,2.556396484375,38.8657657398897,4780.0
48.0,24.0,1964.77587890625,43.34326171875,3.06640625,40.932830810546875,4828.0
52.0,26.0,2010.203125,44.11328125,2.605224609375,38.65775240384615,4880.0
54.0,27.0,1991.137939453125,43.51806640625,2.572509765625,36.8729248046875,4934.0
51.0,25.5,2001.860595703125,56.25341796875,2.764404296875,39.25216854319853,4985.0
51.0,25.5,1969.392578125,54.68115234375,2.704833984375,38.61554074754902,5036.0
51.0,25.5,2014.37158203125,72.624755859375,2.6640625,39.49748200061274,5087.0
49.0,24.5,1954.22802734375,41.997314453125,2.939697265625,39.882204639668366,5136.0
51.0,25.5,1996.274169921875,42.88427734375,2.834716796875,39.142630782781865,5187.0
56.0,28.0,1992.54931640625,47.42041015625,2.391357421875,35.58123779296875,5243.0
51.0,25.5,1981.066650390625,41.820556640625,2.87548828125,38.844444125306374,5294.0
51.0,25.5,2021.966552734375,45.448486328125,2.912353515625,39.646402994791664,5345.0
52.0,26.0,1961.735107421875,41.096923828125,2.70458984375,37.72567514272836,5397.0
53.0,26.5,2002.768310546875,44.3974609375,2.84716796875,37.788081331073116,5450.0
54.0,27.0,1989.0126953125,41.943603515625,2.91748046875,36.83356843171296,5504.0
53.0,26.5,1969.6611328125,41.3212890625,2.891845703125,37.163417600235846,5557.0
52.0,26.0,1983.86328125,42.130126953125,2.637939453125,38.15121694711539,5609.0
51.0,25.5,2020.243896484375,77.429931640625,2.78955078125,39.61262542126226,5660.0
52.0,26.0,1983.61474609375,55.576904296875,2.5625,38.14643742487981,5712.0
53.0,26.5,1994.691162109375,41.5888671875,2.716064453125,37.635682303950475,5765.0
53.0,26.5,1983.2666015625,40.7646484375,2.682373046875,37.42012455778302,5818.0
54.0,27.0,1966.342041015625,40.880859375,2.7265625,36.413741500289355,5872.0
54.0,27.0,2003.75732421875,46.276611328125,2.714599609375,37.10661711516204,5926.0
54.0,27.0,1986.690673828125,40.12451171875,2.5927734375,36.790568033854164,5980.0
57.0,28.5,1980.078125,43.544677734375,1.91943359375,34.73821271929825,6037.0
57.0,28.5,2004.271240234375,39.0517578125,2.855224609375,35.16265333744518,6094.0
55.0,27.5,1993.55322265625,41.008544921875,2.822509765625,36.24642223011364,6149.0
56.0,28.0,1981.139892578125,39.65576171875,2.6923828125,35.37749808175223,6205.0
59.0,29.5,1967.356689453125,39.45703125,2.196044921875,33.34502863479873,6264.0
59.0,29.5,2002.1201171875,53.202880859375,2.679931640625,33.93423927436441,6323.0
58.0,29.0,1980.9619140625,38.902099609375,2.745361328125,34.15451575969828,6381.0
60.0,30.0,2003.206298828125,45.3125,2.78955078125,33.38677164713542,6441.0
58.0,29.0,1964.461669921875,52.100830078125,2.843017578125,33.87002879175647,6499.0
58.0,29.0,2016.298583984375,43.884521484375,3.1201171875,34.76376868938578,6557.0
56.0,28.0,1961.126220703125,37.4599609375,3.027587890625,35.020111083984375,6613.0
60.0,30.0,1988.3505859375,37.334716796875,2.685302734375,33.13917643229167,6673.0
61.0,30.5,2017.36962890625,40.44189453125,2.851806640625,33.0716332607582,6734.0
58.0,29.0,1970.435302734375,62.881103515625,2.913330078125,33.9730224609375,6792.0
59.0,29.5,1976.981201171875,36.5517578125,2.606689453125,33.50815595206568,6851.0
59.0,29.5,2005.285888671875,37.889404296875,2.7060546875,33.987896418167374,6910.0
62.0,31.0,1983.8388671875,36.035400390625,2.053466796875,31.997401083669356,6972.0
61.0,30.5,1979.086669921875,35.978759765625,2.603271484375,32.44404376921106,7033.0
64.0,32.0,2004.006103515625,36.155029296875,2.668212890625,31.31259536743164,7097.0
60.0,30.0,1991.8681640625,35.899169921875,2.682373046875,33.197802734375,7157.0
61.0,30.5,1967.302490234375,35.472900390625,2.63671875,32.25086049564549,7218.0
61.0,30.5,1987.841796875,37.27392578125,2.602294921875,32.58757044057377,7279.0
58.0,29.0,1941.181396484375,85.099853515625,2.623046875,33.468644766971984,7337.0
56.0,28.0,2057.833984375,88.473388671875,2.873046875,36.747035435267854,7393.0
63.0,31.5,1964.420166015625,39.08740234375,2.707275390625,31.18127247643849,7456.0
64.0,32.0,1986.32421875,49.006103515625,1.83349609375,31.03631591796875,7520.0
65.0,32.5,2004.4443359375,35.39208984375,2.567626953125,30.83760516826923,7585.0
63.0,31.5,1960.61669921875,37.45556640625,2.741455078125,31.120899987599206,7648.0
68.0,34.0,2013.322021484375,40.018310546875,2.145751953125,29.607676786534928,7716.0
64.0,32.0,1966.789794921875,33.3720703125,2.679443359375,30.731090545654297,7780.0
71.0,35.5,1993.626708984375,35.326171875,2.41796875,28.07924942231514,7851.0
67.0,33.5,1981.6787109375,32.62158203125,2.716552734375,29.577294193097014,7918.0
68.0,34.0,2000.03857421875,53.880126953125,2.54150390625,29.41233197380515,7986.0
68.0,34.0,1985.67431640625,33.012451171875,2.59228515625,29.201092888327207,8054.0
67.0,33.5,1979.1162109375,31.84423828125,2.6376953125,29.539047924440297,8121.0
68.0,34.0,1972.9736328125,32.628173828125,2.7177734375,29.014318129595587,8189.0
70.0,35.0,1999.29052734375,46.382080078125,2.656005859375,28.561293247767857,8259.0
72.0,36.0,1981.8701171875,31.269287109375,2.0927734375,27.52597384982639,8331.0
