Count,Throughput,TotalLatency,MaxLatency,MinLatency,AvgLatency,Total
0.0,0.0,0.0,0.0,10000.0,0.0,0.0
293.0,146.5,1862.95849609375,17.6259765625,4.663818359375,6.35822012318686,293.0
288.0,144.0,1943.82666015625,12.307373046875,4.9609375,6.749398125542535,581.0
304.0,152.0,1952.25244140625,13.177001953125,4.729248046875,6.421883030941612,885.0
316.0,158.0,1967.003662109375,11.328369140625,4.666015625,6.224695133257516,1201.0
319.0,159.5,1962.7001953125,23.373779296875,4.474853515625,6.152665189067398,1520.0
322.0,161.0,1965.666748046875,12.615234375,4.6748046875,6.104555118157997,1842.0
321.0,160.5,1966.2626953125,20.243408203125,4.622314453125,6.125428957359813,2163.0
320.0,160.0,1965.5751953125,15.365478515625,4.657470703125,6.142422485351562,2483.0
317.0,158.5,1965.846923828125,21.7021484375,4.666015625,6.201409854347397,2800.0
323.0,161.5,1965.2822265625,17.796142578125,4.683837890625,6.084465097716718,3123.0
320.0,160.0,1965.16650390625,17.79443359375,4.59521484375,6.141145324707031,3443.0
325.0,162.5,1965.526123046875,24.25439453125,4.613037109375,6.047772686298077,3768.0
327.0,163.5,1965.623291015625,12.628662109375,4.628173828125,6.011080400659404,4095.0
329.0,164.5,1970.89794921875,11.615234375,4.5498046875,5.990571274221125,4424.0
348.0,174.0,1951.6279296875,12.40087890625,4.435791015625,5.608126234734195,4772.0
354.0,177.0,1965.308349609375,25.08251953125,4.580322265625,5.551718501721398,5126.0
347.0,173.5,1963.3779296875,11.658203125,4.564697265625,5.658149653278098,5473.0
347.0,173.5,1968.20068359375,14.7412109375,4.5673828125,5.672048079520893,5820.0
344.0,172.0,1962.635498046875,23.298828125,4.598388671875,5.705335750136265,6164.0
346.0,173.0,1961.30029296875,16.376220703125,4.666015625,5.668497956557081,6510.0
355.0,177.5,1968.243408203125,11.308349609375,4.605224609375,5.544347628741197,6865.0
340.0,170.0,1952.4716796875,20.3505859375,4.56005859375,5.742563763786765,7205.0
339.0,169.5,1973.2177734375,22.87548828125,4.67236328125,5.820701396570796,7544.0
346.0,173.0,1960.2490234375,10.234619140625,4.708740234375,5.665459605310693,7890.0
349.0,174.5,1956.1865234375,9.364501953125,4.682861328125,5.605118978330945,8239.0
341.0,170.5,1955.202880859375,32.305908203125,4.5361328125,5.733732788443915,8581.0
342.0,171.0,1964.9951171875,21.8994140625,4.58203125,5.745599757858187,8923.0
332.0,166.0,1959.93798828125,22.707763671875,4.66162109375,5.903427675545934,9255.0
336.0,168.0,1955.411376953125,16.78515625,4.693115234375,5.8196767171223955,9591.0
344.0,172.0,1957.508544921875,21.781982421875,4.60205078125,5.690431816633358,9935.0
344.0,172.0,1956.546142578125,11.1181640625,4.723388671875,5.6876341354015265,10279.0
293.0,146.5,1944.70263671875,14.28857421875,5.075927734375,6.6372103642278155,10572.0
316.0,158.0,1947.4287109375,18.235107421875,4.7578125,6.162749085245253,10888.0
332.0,166.0,1957.36181640625,23.97265625,4.626708984375,5.895668121705572,11220.0
340.0,170.0,1956.534912109375,15.534423828125,4.593505859375,5.754514447380514,11560.0
332.0,166.0,1953.455810546875,12.11669921875,4.680908203125,5.883903043815889,11892.0
334.0,167.0,1956.565673828125,10.1650390625,4.696044921875,5.857981059365644,12226.0
336.0,168.0,1953.90185546875,21.550048828125,4.766357421875,5.815184093656994,12562.0
330.0,165.0,1956.877197265625,36.769775390625,4.76806640625,5.929930900804925,12892.0
