Count,Throughput,TotalLatency,MaxLatency,MinLatency,AvgLatency,Total
0.0,0.0,0.0,0.0,10000.0,0.0,0.0
697.0,348.5,1833.466796875,10.105224609375,1.093505859375,2.6305119036944045,697.0
740.0,370.0,1932.8623046875,8.46337890625,1.09375,2.6119760874155404,1437.0
744.0,372.0,1921.7041015625,9.86181640625,1.098876953125,2.5829356203797045,2182.0
730.0,365.0,1926.81591796875,7.5322265625,1.086669921875,2.6394738602311643,2913.0
753.0,376.5,1924.47998046875,4.857177734375,1.091552734375,2.555750306067397,3666.0
744.0,372.0,1914.1416015625,4.87841796875,1.09228515625,2.57277096984207,4411.0
740.0,370.0,1900.441650390625,9.899658203125,1.099609375,2.5681643924197637,5151.0
738.0,369.0,1923.49462890625,7.438720703125,1.098388671875,2.6063612857808267,5890.0
757.0,378.5,1929.0498046875,13.952880859375,1.087646484375,2.548282436839498,6647.0
739.0,369.5,1922.51806640625,5.22265625,1.088134765625,2.6015129450693504,7386.0
733.0,366.5,1932.048095703125,9.6748046875,1.0859375,2.635809134656378,8119.0
746.0,373.0,1926.902099609375,6.086181640625,1.095458984375,2.5829786858034516,8866.0
731.0,365.5,1928.689453125,8.576171875,1.095458984375,2.638426064466484,9597.0
763.0,381.5,1925.752685546875,11.283203125,1.09130859375,2.523922261529325,10361.0
736.0,368.0,1927.8134765625,13.90966796875,1.09130859375,2.6193117888077446,11097.0
746.0,373.0,1928.099853515625,9.671875,1.092041015625,2.584584254042393,11844.0
756.0,378.0,1913.125732421875,8.25830078125,1.0908203125,2.530589593150628,12601.0
759.0,379.5,1929.58349609375,8.673095703125,1.08935546875,2.542270745841568,13360.0
758.0,379.0,1923.751708984375,9.49267578125,1.085693359375,2.5379310144912597,14119.0
749.0,374.5,1925.6513671875,8.696533203125,1.095703125,2.5709631070594123,14868.0
741.0,370.5,1925.36669921875,7.180419921875,1.091796875,2.5983356264760458,15609.0
767.0,383.5,1924.43994140625,8.9482421875,1.092041015625,2.5090481635022814,16376.0
766.0,383.0,1904.1845703125,11.20947265625,1.08740234375,2.4858806400946474,17143.0
754.0,377.0,1925.0478515625,10.245849609375,1.088623046875,2.5531138614887268,17898.0
736.0,368.0,1933.047607421875,5.74365234375,1.091552734375,2.6264233796492866,18634.0
750.0,375.0,1928.337646484375,6.631591796875,1.08935546875,2.5711168619791667,19384.0
752.0,376.0,1924.46728515625,12.93505859375,1.094970703125,2.559132028133311,20137.0
783.0,391.5,1918.196044921875,4.72705078125,1.08740234375,2.449803377933429,20921.0
736.0,368.0,1925.29638671875,7.97119140625,1.09228515625,2.61589182978091,21658.0
771.0,385.5,1919.796875,6.931640625,1.09814453125,2.490008916990921,22430.0
731.0,365.5,1921.520751953125,6.364990234375,1.095458984375,2.628619359716997,23161.0
719.0,359.5,1926.71435546875,6.526611328125,1.09521484375,2.6797139853529206,23880.0
735.0,367.5,1924.10205078125,14.208740234375,1.088623046875,2.617825919430272,24615.0
753.0,376.5,1918.77685546875,7.077880859375,1.099609375,2.548176434885458,25369.0
756.0,378.0,1907.560791015625,10.517578125,1.09521484375,2.5232285595444774,26125.0
725.0,362.5,1915.7451171875,5.9892578125,1.08837890625,2.6424070581896553,26851.0
729.0,364.5,1915.4365234375,6.828125,1.095458984375,2.6274849429869684,27581.0
752.0,376.0,1921.257568359375,4.94580078125,1.094482421875,2.554863787711935,28333.0
711.0,355.5,1911.559326171875,5.028076171875,1.104248046875,2.688550388427391,29045.0
753.0,376.5,1920.3408203125,8.948486328125,1.09375,2.550253413429615,29799.0
739.0,369.5,1922.857177734375,11.6787109375,1.095947265625,2.601971823727165,30538.0
750.0,375.0,1919.630126953125,10.28466796875,1.09033203125,2.5595068359375,31288.0
760.0,380.0,1921.57080078125,5.934814453125,1.090087890625,2.528382632606908,32049.0
778.0,389.0,1915.749755859375,8.20166015625,1.0908203125,2.4624032851662916,32828.0
779.0,389.5,1923.389892578125,9.677490234375,1.10302734375,2.469049926287709,33607.0
732.0,366.0,1926.970703125,9.421875,1.0947265625,2.632473638148907,34339.0
729.0,364.5,1928.13427734375,6.318115234375,1.093505859375,2.6449029867541154,35068.0
