Count,Throughput,TotalLatency,MaxLatency,MinLatency,AvgLatency,Total
0.0,0.0,0.0,0.0,10000.0,0.0,0.0
199.0,99.5,1875.334716796875,31.248046875,2.589111328125,9.423792546717964,199.0
225.0,112.5,1985.51904296875,20.06396484375,2.50927734375,8.824529079861112,424.0
229.0,114.5,1958.046142578125,16.6552734375,2.595947265625,8.550419836585698,654.0
239.0,119.5,1972.2666015625,15.305419921875,2.525146484375,8.252161512813808,893.0
272.0,136.0,1969.74365234375,14.422607421875,2.509033203125,7.241704604204963,1165.0
269.0,134.5,1973.34619140625,13.7197265625,2.57373046875,7.335859447606877,1434.0
292.0,146.0,1971.986328125,12.59423828125,2.51171875,6.75337783604452,1726.0
300.0,150.0,1969.072265625,12.5673828125,2.422607421875,6.56357421875,2026.0
331.0,165.5,1959.5478515625,21.24072265625,2.51708984375,5.920084143693353,2357.0
369.0,184.5,1967.9140625,9.939453125,2.4150390625,5.333100440379404,2726.0
430.0,215.0,1955.471435546875,8.98876953125,2.366943359375,4.547607989643895,3156.0
505.0,252.5,1948.44091796875,7.14453125,2.44384765625,3.8582988474628714,3661.0
636.0,318.0,1938.1298828125,6.392333984375,1.555419921875,3.0473740295794025,4297.0
299.0,149.5,1910.14306640625,42.5458984375,0.44775390625,6.388438349184782,4597.0
92.0,46.0,1989.513671875,47.82958984375,2.594482421875,21.625148607336957,4689.0
90.0,45.0,2002.52197265625,42.481689453125,2.74169921875,22.250244140625,4779.0
77.0,38.5,1977.720703125,57.208984375,2.883544921875,25.68468445616883,4856.0
99.0,49.5,1982.42578125,41.496337890625,2.53955078125,20.02450284090909,4955.0
98.0,49.0,2010.075927734375,42.02880859375,2.544677734375,20.5109788544324,5053.0
86.0,43.0,1974.504150390625,44.599365234375,2.529296875,22.9593505859375,5139.0
92.0,46.0,1976.30810546875,40.609375,2.791259765625,21.48160984205163,5231.0
103.0,51.5,1997.438720703125,61.735595703125,2.7421875,19.39260893886529,5334.0
102.0,51.0,1957.563232421875,39.546875,2.777587890625,19.191796396292894,5436.0
96.0,48.0,1989.75390625,39.9833984375,2.78125,20.726603190104168,5532.0
107.0,53.5,1992.494873046875,39.00732421875,2.568603515625,18.621447411653037,5639.0
80.0,40.0,1983.360595703125,51.93310546875,3.086669921875,24.792007446289062,5719.0
92.0,46.0,1965.76953125,38.057861328125,2.8115234375,21.36706012228261,5811.0
97.0,48.5,2013.007568359375,42.142578125,2.737548828125,20.752655343911083,5908.0
92.0,46.0,1990.746826171875,44.9462890625,2.769775390625,21.638552458389945,6000.0
110.0,55.0,1970.26611328125,40.5126953125,2.757080078125,17.911510120738637,6111.0
106.0,53.0,1970.2255859375,37.470703125,2.7060546875,18.587033829599058,6217.0
109.0,54.5,1996.9560546875,36.888427734375,2.7080078125,18.320697749426607,6326.0
92.0,46.0,1971.03076171875,63.811767578125,2.927734375,21.424247409986414,6418.0
102.0,51.0,1961.056396484375,53.870849609375,2.540283203125,19.22604310278799,6520.0
88.0,44.0,1997.7197265625,38.933837890625,2.772705078125,22.701360529119317,6608.0
107.0,53.5,1996.133544921875,36.13671875,2.8935546875,18.655453690858646,6715.0
99.0,49.5,1960.0283203125,35.404052734375,2.70654296875,19.798265861742426,6814.0
121.0,60.5,1994.13671875,35.85498046875,2.56982421875,16.48046875,6935.0
106.0,53.0,2000.2451171875,36.779052734375,2.719970703125,18.870236954599058,7041.0
110.0,55.0,1961.812255859375,48.2392578125,2.480224609375,17.834656871448864,7152.0
126.0,63.0,1999.376220703125,35.419677734375,2.461181640625,15.868065243675595,7278.0
116.0,58.0,1977.64990234375,33.3544921875,2.454345703125,17.0487060546875,7394.0
129.0,64.5,1969.097900390625,34.499267578125,2.592041015625,15.26432480922965,7523.0
103.0,51.5,1989.138916015625,32.798095703125,2.605712890625,19.312028310831312,7626.0
127.0,63.5,1990.5,42.6552734375,2.71826171875,15.673228346456693,7753.0
124.0,62.0,1965.908447265625,34.48291015625,2.74365234375,15.854100381174396,7879.0
111.0,55.5,1987.082763671875,32.73779296875,2.967529296875,17.90164651956644,7990.0
129.0,64.5,1960.06005859375,32.0654296875,2.52392578125,15.194264020106589,8120.0
126.0,63.0,1974.53076171875,34.820068359375,2.648681640625,15.670879061259921,8246.0
124.0,62.0,2002.037353515625,31.76611328125,2.533935546875,16.145462528351814,8370.0
118.0,59.0,1954.368408203125,29.52001953125,2.759033203125,16.562444137314618,8488.0
143.0,71.5,1984.563232421875,30.83154296875,2.63037109375,13.878064562390735,8631.0
133.0,66.5,1983.53271484375,33.83740234375,2.670166015625,14.913779810855264,8764.0
125.0,62.5,1991.501953125,28.79150390625,2.423583984375,15.932015625,8889.0
131.0,65.5,1960.779541015625,27.36474609375,2.51318359375,14.967782755844466,9020.0
130.0,65.0,1975.3759765625,40.5498046875,2.734375,15.195199819711538,9150.0
142.0,71.0,1998.202392578125,29.078857421875,2.552978515625,14.071847835057218,9292.0
160.0,80.0,1958.872314453125,29.947265625,2.422607421875,12.242951965332031,9452.0
142.0,71.0,1978.25830078125,26.686767578125,2.6103515625,13.931396484375,9594.0
145.0,72.5,1989.114501953125,30.047607421875,2.632080078125,13.718031047952586,9739.0
132.0,66.0,1987.983642578125,25.969482421875,2.625732421875,15.060482140743371,9871.0
148.0,74.0,1978.3994140625,24.859375,2.59765625,13.367563608530405,10019.0
149.0,74.5,1969.82958984375,26.693603515625,2.592041015625,13.220332817743289,10168.0
152.0,76.0,1976.852294921875,25.652099609375,2.538330078125,13.005607203433389,10320.0
164.0,82.0,1983.7978515625,25.00048828125,2.611572265625,12.096328363185975,10484.0
165.0,82.5,1979.623291015625,22.80224609375,2.54052734375,11.997716915246212,10649.0
